anomesdia,geracao_gas_fossil,geracao_carvao_duro,carga_total_real,preco_dia_seguinte,preco_real,temperatura,velocidade_vento
2015-06-22,4966.041666666667,7686.458333333333,29549.458333333332,61.17916666666667,73.48291666666667,296.31793515625003,2.441666666666667
2015-06-23,5006.041666666667,7903.291666666667,29290.833333333332,58.03125,70.525,294.76338567708336,1.9083333333333334
2015-06-24,5034.0,7693.791666666667,27675.708333333332,59.85041666666667,72.28,294.34107109375,1.725
2015-06-25,5809.458333333333,7891.041666666667,29737.958333333332,61.187916666666666,73.55958333333334,296.49739010416664,1.9166666666666667
2015-06-26,5766.0,7670.208333333333,30423.0,61.427083333333336,73.47916666666667,299.15189166666664,2.3916666666666666
2015-06-27,4592.875,7335.25,28014.25,56.111666666666665,65.69833333333334,300.25016666666664,1.975
2015-06-28,4266.708333333333,7279.541666666667,26235.416666666668,49.330416666666665,60.190000000000005,300.3258458333333,1.8333333333333333
2015-06-29,5705.291666666667,7606.666666666667,31852.583333333332,59.711666666666666,72.46208333333334,300.8790833333333,2.2
2015-06-30,5326.875,7870.041666666667,32251.833333333332,58.60375,71.56958333333334,301.02365833333334,3.05
2015-07-01,8040.5,7183.375,32003.208333333332,64.50708333333333,71.67791666666668,299.6890583333333,2.7
2015-07-02,5963.413223140496,5961.834710743801,30968.14876033058,52.51933884297521,75.74239669421488,299.16074380165287,2.84297520661157
2015-07-03,4618.041666666667,2830.2083333333335,26028.333333333332,45.01583333333333,71.88333333333334,301.1815833333333,3.216666666666667
2015-07-04,4049.25,2858.7916666666665,27487.125,45.742916666666666,65.80625,301.3011666666667,2.2583333333333333
2015-07-05,4276.458333333333,4931.541666666667,27922.958333333332,48.72791666666667,60.14875,301.4668333333333,2.25
2015-07-06,4397.416666666667,4988.333333333333,24878.5,47.45875,72.6425,302.197,2.683333333333333
2015-07-07,8167.041666666667,7758.416666666667,33682.958333333336,61.142916666666665,72.5425,302.20141666666666,3.025
2015-07-08,6550.125,6526.25,30723.333333333332,61.82208333333333,71.17208333333333,300.45916666666665,2.425
2015-07-09,5728.875,6762.625,27374.791666666668,59.49791666666667,72.63083333333334,299.832,3.0416666666666665
2015-07-10,5754.333333333333,7272.5,27988.416666666668,58.49625,74.1125,299.94675,3.658333333333333
2015-07-11,4093.5833333333335,5825.75,24924.875,49.649166666666666,65.43666666666667,299.4088333333333,2.2
2015-07-12,4776.609756097561,6234.048780487805,26887.90243902439,48.26861788617886,62.6779674796748,300.0377235772358,2.065040650406504
2015-07-13,8487.25,7036.875,32500.208333333332,62.70333333333333,75.16708333333332,300.89208333333335,2.1333333333333333
2015-07-14,8181.125,7241.833333333333,33372.083333333336,60.29375,72.27833333333334,301.2076666666666,2.1
2015-07-15,8426.708333333334,7424.166666666667,33568.5,62.069583333333334,73.81041666666667,299.20575,2.033333333333333
2015-07-16,8703.083333333334,7560.291666666667,33465.291666666664,63.89458333333333,75.01041666666667,301.47450000000003,2.225
2015-07-17,8964.073170731708,7856.666666666667,33305.439024390245,64.50617886178863,75.96634146341464,301.28593495934956,2.3577235772357725
2015-07-18,5727.6859504132235,7052.636363636364,29190.14876033058,61.708264462809915,70.29834710743802,300.4418181818182,2.479338842975207
